RNGSource;RNGTarget;RNGDistance;
0;768;3,0000000;
0;3792;3,0000000;
1;25;3,4641016;
1;324;3,4641016;
1;1411;3,1622777;
1;2233;4,2426407;
1;2355;3,1622777;
1;2729;4,1231056;
1;2809;3,8729833;
1;3336;3,8729833;
2;401;3,1622777;
2;806;3,0000000;
2;1179;3,7416574;
2;2908;3,8729833;
2;3329;4,2426407;
2;3962;3,8729833;
3;462;3,1622777;
3;682;4,2426407;
3;2462;2,8284271;
3;3825;3,3166248;
4;193;3,4641016;
4;419;4,1231056;
4;1941;4,0000000;
4;1962;3,1622777;
4;3138;3,7416574;
4;3235;3,4641016;
4;3914;4,2426407;
5;22;4,5825757;
5;295;3,8729833;
5;364;3,8729833;
5;1519;3,3166248;
5;2100;3,3166248;
5;2905;3,7416574;
5;3363;4,1231056;
6;939;4,4721360;
6;1121;4,6904158;
6;1296;4,2426407;
6;2027;2,8284271;
6;2401;3,3166248;
6;3300;4,6904158;
7;1116;3,8729833;
7;2555;3,8729833;
7;3520;3,1622777;
7;3690;2,4494897;
8;94;4,4721360;
8;904;4,2426407;
8;1553;4,4721360;
8;2317;4,3588989;
8;2894;3,1622777;
8;3812;4,3588989;
9;450;4,1231056;
9;1093;3,0000000;
9;2349;3,0000000;
9;2872;3,6055513;
10;75;4,3588989;
10;2602;3,6055513;
10;3872;3,8729833;
11;1154;3,7416574;
11;1441;4,2426407;
11;3104;3,1622777;
11;3582;3,6055513;
12;1405;3,6055513;
12;2668;3,4641016;
12;2781;3,1622777;
12;3674;4,2426407;
12;3812;3,3166248;
13;219;3,7416574;
13;572;4,1231056;
13;653;3,6055513;
13;2598;4,2426407;
13;3732;4,4721360;
14;722;3,1622777;
14;2016;4,1231056;
14;2376;3,6055513;
14;3385;3,8729833;
14;3524;4,2426407;
14;3733;4,6904158;
15;567;3,4641016;
15;2261;4,0000000;
15;3731;3,6055513;
16;337;3,7416574;
16;904;3,3166248;
16;1858;3,0000000;
16;2826;3,4641016;
16;3630;3,4641016;
17;171;4,4721360;
17;993;3,1622777;
17;3347;3,0000000;
18;355;2,0000000;
18;604;3,8729833;
18;774;3,4641016;
18;1655;3,8729833;
18;2429;3,8729833;
18;2845;3,7416574;
18;3752;3,4641016;
19;2087;4,2426407;
19;3196;4,1231056;
19;3651;3,7416574;
20;273;3,4641016;
20;1955;3,4641016;
20;2683;4,6904158;
20;3713;4,3588989;
21;107;3,8729833;
21;1545;4,0000000;
21;1915;3,3166248;
21;2449;4,8989795;
21;3102;3,7416574;
22;680;4,4721360;
22;728;4,2426407;
22;1280;4,2426407;
22;1506;3,0000000;
22;2433;3,4641016;
22;2851;4,3588989;
23;1303;4,5825757;
23;2070;3,3166248;
23;2870;3,1622777;
24;1075;3,8729833;
24;1371;4,1231056;
25;160;3,7416574;
25;876;4,4721360;
25;1616;3,6055513;
25;1744;3,8729833;
25;3439;3,4641016;
26;1253;4,2426407;
26;1470;2,2360680;
26;2064;3,0000000;
26;2101;3,0000000;
26;3081;3,6055513;
27;210;3,6055513;
27;296;3,8729833;
27;998;4,0000000;
27;1774;3,0000000;
27;3068;3,0000000;
27;3454;3,7416574;
27;3615;3,4641016;
27;3880;4,1231056;
28;845;3,0000000;
28;866;3,6055513;
28;2285;2,6457513;
28;2961;3,3166248;
28;3070;3,4641016;
29;540;5,1961524;
29;3042;3,7416574;
29;3580;4,7958315;
30;238;3,1622777;
30;1285;3,4641016;
31;603;4,1231056;
31;1011;4,0000000;
31;2683;3,6055513;
31;2853;3,7416574;
31;3023;3,4641016;
31;3758;3,3166248;
32;51;3,8729833;
32;2460;4,1231056;
33;955;3,7416574;
33;1740;3,4641016;
33;3108;2,6457513;
34;2460;4,2426407;
34;2985;3,6055513;
34;3028;3,7416574;
34;3755;4,0000000;
35;776;4,7958315;
35;893;5,0000000;
35;2349;4,3588989;
35;2807;3,7416574;
35;3952;4,3588989;
36;301;4,0000000;
36;642;4,0000000;
36;691;4,2426407;
36;2266;3,8729833;
36;3103;3,8729833;
37;1033;4,0000000;
37;1408;3,0000000;
37;2048;4,2426407;
37;2370;4,6904158;
37;2870;4,2426407;
37;3158;4,7958315;
38;405;3,8729833;
38;521;3,4641016;
38;1125;4,5825757;
38;1292;3,8729833;
38;1334;4,5825757;
38;1704;3,8729833;
38;3536;4,4721360;
39;387;3,7416574;
39;1441;3,4641016;
39;2019;4,5825757;
39;2508;4,2426407;
39;3884;3,4641016;
40;710;3,7416574;
40;1485;3,8729833;
40;2599;4,0000000;
40;3559;4,0000000;
41;257;3,0000000;
41;1104;4,0000000;
41;3291;3,8729833;
42;728;5,0000000;
42;2234;3,7416574;
42;3141;3,6055513;
42;3236;5,0000000;
42;3319;4,2426407;
43;389;3,3166248;
43;1890;4,2426407;
43;2549;4,3588989;
43;3794;4,4721360;
44;1094;2,2360680;
44;3846;3,8729833;
44;3931;4,1231056;
45;595;3,3166248;
45;979;3,8729833;
45;3494;3,4641016;
45;3849;3,1622777;
46;304;3,4641016;
46;450;3,6055513;
46;2268;2,8284271;
46;2583;2,8284271;
46;3743;3,7416574;
47;1216;3,4641016;
47;1479;3,8729833;
47;2473;2,8284271;
47;2622;3,8729833;
47;2915;3,4641016;
47;3687;2,6457513;
48;69;4,2426407;
48;374;4,0000000;
48;2338;3,4641016;
48;3189;2,8284271;
49;2421;2,2360680;
49;3274;2,6457513;
49;3341;4,3588989;
50;747;3,8729833;
50;1704;4,1231056;
50;1996;4,0000000;
50;2461;3,3166248;
50;2762;2,8284271;
51;822;3,7416574;
51;1024;3,6055513;
51;1466;4,0000000;
51;2772;4,0000000;
51;3324;3,7416574;
51;3489;4,8989795;
51;3591;3,7416574;
51;3873;4,1231056;
52;752;3,7416574;
52;1782;4,0000000;
52;3840;5,0000000;
53;105;4,0000000;
53;2026;2,6457513;
53;2125;4,0000000;
53;2799;4,1231056;
53;3527;4,3588989;
53;3939;4,1231056;
54;181;4,1231056;
54;222;2,4494897;
54;639;3,7416574;
54;2039;3,3166248;
54;2357;4,6904158;
55;975;3,7416574;
55;1388;4,4721360;
55;2102;3,1622777;
55;2255;4,5825757;
55;3463;3,8729833;
55;3903;3,0000000;
56;832;3,7416574;
56;1092;3,4641016;
56;1368;4,1231056;
56;2716;3,6055513;
56;2834;5,0000000;
56;3765;4,0000000;
57;1317;3,4641016;
57;1582;3,8729833;
57;1871;4,7958315;
58;785;3,4641016;
58;2320;4,1231056;
58;2599;3,6055513;
58;2760;4,4721360;
58;2932;4,3588989;
58;3364;3,0000000;
58;3545;3,1622777;
59;1070;4,2426407;
59;2298;3,8729833;
59;3477;2,4494897;
60;809;3,3166248;
60;2548;2,8284271;
60;2746;4,0000000;
60;3107;2,8284271;
60;3241;4,3588989;
60;3593;4,2426407;
60;3826;3,1622777;
61;950;3,8729833;
61;953;4,2426407;
61;1391;4,4721360;
61;2097;3,3166248;
61;3320;3,3166248;
61;3503;4,2426407;
62;1447;4,1231056;
62;2110;4,0000000;
62;2969;4,5825757;
63;946;4,0000000;
63;1146;3,3166248;
63;2760;3,7416574;
63;3236;4,6904158;
63;3253;4,1231056;
64;301;3,1622777;
64;820;3,4641016;
64;1935;3,8729833;
64;2757;3,8729833;
64;3406;3,7416574;
65;289;4,5825757;
65;794;3,6055513;
65;2887;2,2360680;
65;3034;3,0000000;
66;486;4,5825757;
66;525;4,4721360;
66;918;4,7958315;
66;3219;4,5825757;
67;533;3,0000000;
67;1672;2,6457513;
67;1808;4,0000000;
67;2165;4,6904158;
67;3398;3,1622777;
68;99;4,7958315;
68;528;4,2426407;
68;799;3,8729833;
68;1803;4,2426407;
68;2969;3,6055513;
68;3124;4,5825757;
69;1892;4,3588989;
69;2668;4,1231056;
69;3381;4,1231056;
70;432;3,3166248;
70;1721;3,8729833;
70;1975;3,0000000;
70;2241;3,7416574;
70;2714;3,8729833;
70;2861;3,7416574;
70;3875;4,0000000;
71;131;4,4721360;
71;1133;3,4641016;
71;1954;4,2426407;
71;2547;4,5825757;
71;3016;4,2426407;
71;3623;3,8729833;
71;3891;4,0000000;
72;556;3,3166248;
72;706;3,8729833;
72;768;4,2426407;
72;1157;3,7416574;
72;1258;4,0000000;
72;2144;3,7416574;
73;1033;5,1961524;
73;1204;3,8729833;
73;2130;3,4641016;
73;2484;4,4721360;
73;2561;3,8729833;
